thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,Linear_vel,lift
0.00919941310371281,0.302119663069315,6.46493393234802,0,0,0,0,1.020112
0.00929034518922101,0.304061990793986,6.48320391006113,0,0,0,0,1.111793
0.00938186082668784,0.306009795050192,6.50144213037794,0,0,0,0,1.034646
0.00947396165773213,0.307963066296788,6.51964850396016,0,0,0,0,1.223174
0.00956664932110611,0.309921794965847,6.53782294162548,0,0,0,0,1.06256
0.00965992545268744,0.311885971462713,6.55596535434805,0,0,0,0,1.268923
0.00975379168547131,0.313855586166043,6.57407565325887,0,0,0,0,1.105465
0.00984824964956227,0.315830629427853,6.59215374964626,0,0,0,0,1.308163
0.00994330097216635,0.317811091573572,6.61019955495628,0,0,0,0,1.166994
0.0100389472775831,0.31979696290208,6.62821298079315,0,0,0,0,1.345764
0.0101351901871977,0.321788233685766,6.64619393891971,0,0,0,0,1.239965
0.0102320313194725,0.323784894170566,6.66414234125786,0,0,0,0,1.368353
0.0103294722899401,0.325786934576018,6.68205809988893,0,0,0,0,1.287787
0.0104275147111943,0.327794345095304,6.69994112705419,0,0,0,0,1.415118
0.0105261601928832,0.329807115895303,6.71779133515521,0,0,0,0,1.28258
0.0106254103417005,0.331825237116638,6.73560863675434,0,0,0,0,1.45433
0.0107252667613782,0.33384869887372,6.75339294457513,0,0,0,0,1.339842
0.0108257310526786,0.335877491254804,6.77114417150272,0,0,0,0,1.343489
0.0109268048133861,0.33791160432203,6.78886223058432,0,0,0,0,1.415214
0.0110284896383,0.339951028111478,6.80654703502959,0,0,0,0,1.360115
0.0111307871192261,0.341995752633211,6.82419849821109,0,0,0,0,1.495137
0.0112336988449694,0.344045767871328,6.8418165336647,0,0,0,0,1.321857
0.0113372264013257,0.346101063784013,6.85940105509005,0,0,0,0,1.554491
0.0114413713710747,0.348161630303583,6.87695197635093,0,0,0,0,1.375194
0.0115461353339714,0.350227457336535,6.89446921147571,0,0,0,0,1.463612
0.0116515198667387,0.3522985347636,6.91195267465779,0,0,0,0,1.424085
0.0117575265430601,0.354374852439791,6.92940228025597,0,0,0,0,1.42289
0.0118641569335711,0.356456400194449,6.94681794279491,0,0,0,0,1.443432
0.0119714126058522,0.358543167831299,6.96419957696556,0,0,0,0,1.443455
0.0120792951244211,0.360635145128496,6.98154709762552,0,0,0,0,1.458
0.0121878060507247,0.362732321838676,6.9988604197995,0,0,0,0,1.507314
0.012296946943132,0.364834687689005,7.01613945867975,0,0,0,0,1.430329
0.0124067193569261,0.366942232381231,7.03338412962644,0,0,0,0,1.486322
0.0125171248442963,0.369054945591736,7.05059434816807,0,0,0,0,1.467477
0.0126281649543313,0.371172816971581,7.06777003000193,0,0,0,0,1.447855
0.012739841233011,0.373295836146563,7.08491109099448,0,0,0,0,1.482216
0.012852155223199,0.375423992717261,7.10201744718175,0,0,0,0,1.473744
0.0129651084646352,0.37755727625909,7.11908901476978,0,0,0,0,1.4816
0.0130787024939282,0.379695676322352,7.13612571013502,0,0,0,0,1.488385
0.0131929388445476,0.381839182432283,7.15312744982474,0,0,0,0,1.49222
0.013307819046817,0.38398778408911,7.17009415055744,0,0,0,0,1.471951
0.0134233446279057,0.3861414707681,7.18702572922323,0,0,0,0,1.491877
0.013539517111822,0.388300231919611,7.2039221028843,0,0,0,0,1.471384
