thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,W,W_dot_plus,lift
0.014774701652284,0.366913921971309,5.83472795465573,0,0,0,0,0,1.905724
0.0149127147439579,0.369104657366091,5.84835977523147,0,0,0,0,0,1.846022
0.0150515503771265,0.371300496664931,5.86194683239612,0,0,0,0,0,1.864683
0.0151912104627389,0.37350142306085,5.8754890221542,0,0,0,0,0,1.854684
0.0153316969054338,0.375707419707933,5.88898624085363,0,0,0,0,0,1.825057
0.0154730116035253,0.377918469721457,5.90243838518654,0,0,0,0,0,1.84218
0.0156151564489876,0.380134556178021,5.91584535219009,0,0,0,0,0,1.822854
0.0157581333274413,0.382355662115674,5.92920703924718,0,0,0,0,0,1.841719
0.0159019441181382,0.384581770534045,5.94252334408733,0,0,0,0,0,1.789998
0.0160465906939478,0.386812864394478,5.95579416478738,0,0,0,0,0,1.77331
0.0161920749213421,0.389048926620154,5.96901939977232,0,0,0,0,0,1.757179
0.016338398660382,0.391289940096228,5.98219894781605,0,0,0,0,0,1.71511
0.0164855637647025,0.393535887669957,5.99533270804217,0,0,0,0,0,1.704145
0.016633572081499,0.395786752150835,6.00842057992474,0,0,0,0,0,1.68771
0.0167824254515128,0.398042516310719,6.02146246328903,0,0,0,0,0,1.670465
0.0169321257090173,0.400303162883965,6.03445825831231,0,0,0,0,0,1.688766
0.0170826746818036,0.402568674567558,6.04740786552465,0,0,0,0,0,1.621644
